"County
Code",County Name,"Const
Code",Const Name,Registered Voters
001,MOMBASA,001,CHANGAMWE,"93,561"
001,MOMBASA,002,JOMVU,"75,085"
001,MOMBASA,003,KISAUNI,"135,276"
001,MOMBASA,004,NYALI,"124,253"
001,MOMBASA,005,LIKONI,"94,764"
001,MOMBASA,006,MVITA,"118,974"
002,KWALE,007,MSAMBWENI,"82,261"
002,KWALE,008,LUNGALUNGA,"64,854"
002,KWALE,009,MATUGA,"83,015"
002,KWALE,010,KINANGO,"98,123"
003,KILIFI,011,KILIFI NORTH,"116,742"
003,KILIFI,012,KILIFI SOUTH,"97,696"
003,KILIFI,013,KALOLENI,"73,009"
003,KILIFI,014,RABAI,"59,165"
003,KILIFI,015,GANZE,"67,257"
003,KILIFI,016,MALINDI,"94,605"
003,KILIFI,017,MAGARINI,"80,128"
004,TANA RIVER,018,GARSEN,"55,453"
004,TANA RIVER,019,GALOLE,"39,965"
004,TANA RIVER,020,BURA,"45,678"
005,LAMU,021,LAMU EAST,"22,047"
005,LAMU,022,LAMU WEST,"59,406"
006,TAITA TAVETA,023,TAVETA,"41,031"
006,TAITA TAVETA,024,WUNDANYI,"35,008"
006,TAITA TAVETA,025,MWATATE,"44,411"
006,TAITA TAVETA,026,VOI,"61,377"
007,GARISSA,027,GARISSA TOWNSHIP,"53,253"
007,GARISSA,028,BALAMBALA,"26,085"
007,GARISSA,029,LAGDERA,"26,949"
007,GARISSA,030,DADAAB,"38,185"
007,GARISSA,031,FAFI,"27,335"
007,GARISSA,032,IJARA,"29,666"
008,WAJIR,033,WAJIR NORTH,"33,927"
008,WAJIR,034,WAJIR EAST,"35,794"
008,WAJIR,035,TARBAJ,"25,267"
008,WAJIR,036,WAJIR WEST,"31,334"
008,WAJIR,037,ELDAS,"23,359"
008,WAJIR,038,WAJIR SOUTH,"58,077"
009,MANDERA,039,MANDERA WEST,"37,637"
009,MANDERA,040,BANISSA,"32,703"
009,MANDERA,041,MANDERA NORTH,"45,216"
009,MANDERA,042,MANDERA SOUTH,"34,691"
009,MANDERA,043,MANDERA EAST,"48,219"
009,MANDERA,044,LAFEY,"18,564"
010,MARSABIT,045,MOYALE,"66,402"
010,MARSABIT,046,NORTH HORR,"36,855"
010,MARSABIT,047,SAKU,"30,209"
010,MARSABIT,048,LAISAMIS,"33,446"
011,ISIOLO,049,ISIOLO NORTH,"67,323"
011,ISIOLO,050,ISIOLO SOUTH,"22,181"
012,MERU,051,IGEMBE SOUTH,"77,126"
012,MERU,052,IGEMBE CENTRAL,"93,434"
012,MERU,053,IGEMBE NORTH,"77,050"
012,MERU,054,TIGANIA WEST,"70,283"
012,MERU,055,TIGANIA EAST,"83,527"
012,MERU,056,NORTH IMENTI,"96,241"
012,MERU,057,BUURI,"82,341"
012,MERU,058,CENTRAL IMENTI,"76,495"
012,MERU,059,SOUTH IMENTI,"115,642"
013,THARAKA - NITHI,060,MAARA,"73,248"
013,THARAKA - NITHI,061,CHUKA/IGAMBANG'OMBE,"84,674"
013,THARAKA - NITHI,062,THARAKA,"74,010"
014,EMBU,063,MANYATTA,"106,588"
014,EMBU,064,RUNYENJES,"95,326"
014,EMBU,065,MBEERE SOUTH,"77,264"
014,EMBU,066,MBEERE NORTH,"55,124"
015,KITUI,067,MWINGI NORTH,"68,829"
015,KITUI,068,MWINGI WEST,"57,138"
015,KITUI,069,MWINGI CENTRAL,"74,231"
015,KITUI,070,KITUI WEST,"59,047"
015,KITUI,071,KITUI RURAL,"55,000"
015,KITUI,072,KITUI CENTRAL,"77,764"
015,KITUI,073,KITUI EAST,"65,377"
015,KITUI,074,KITUI SOUTH,"75,372"
016,MACHAKOS,075,MASINGA,"68,879"
016,MACHAKOS,076,YATTA,"82,397"
016,MACHAKOS,077,KANGUNDO,"60,796"
016,MACHAKOS,078,MATUNGULU,"75,841"
016,MACHAKOS,079,KATHIANI,"60,224"
016,MACHAKOS,080,MAVOKO,"132,163"
016,MACHAKOS,081,MACHAKOS TOWN,"117,367"
016,MACHAKOS,082,MWALA,"89,898"
017,MAKUENI,083,MBOONI,"96,029"
017,MAKUENI,084,KILOME,"59,178"
017,MAKUENI,085,KAITI,"65,188"
017,MAKUENI,086,MAKUENI,"102,712"
017,MAKUENI,087,KIBWEZI WEST,"91,554"
017,MAKUENI,088,KIBWEZI EAST,"64,740"
018,NYANDARUA,089,KINANGOP,"115,547"
018,NYANDARUA,090,KIPIPIRI,"54,628"
018,NYANDARUA,091,OL KALOU,"72,997"
018,NYANDARUA,092,OL JOROK,"60,147"
018,NYANDARUA,093,NDARAGWA,"57,846"
019,NYERI,094,TETU,"54,986"
019,NYERI,095,KIENI,"114,573"
019,NYERI,096,MATHIRA,"104,492"
019,NYERI,097,OTHAYA,"61,879"
019,NYERI,098,MUKURWEINI,"58,534"
019,NYERI,099,NYERI TOWN,"87,168"
020,KIRINYAGA,100,MWEA,"131,714"
020,KIRINYAGA,101,GICHUGU,"92,495"
020,KIRINYAGA,102,NDIA,"69,743"
020,KIRINYAGA,103,KIRINYAGA CENTRAL,"82,049"
021,MURANG'A,104,KANGEMA,"52,002"
021,MURANG'A,105,MATHIOYA,"58,102"
021,MURANG'A,106,KIHARU,"119,389"
021,MURANG'A,107,KIGUMO,"82,609"
021,MURANG'A,108,MARAGWA,"102,383"
021,MURANG'A,109,KANDARA,"105,148"
021,MURANG'A,110,GATANGA,"101,296"
022,KIAMBU,111,GATUNDU SOUTH,"79,860"
022,KIAMBU,112,GATUNDU NORTH,"71,810"
022,KIAMBU,113,JUJA,"134,638"
022,KIAMBU,114,THIKA TOWN,"156,018"
022,KIAMBU,115,RUIRU,"172,088"
022,KIAMBU,116,GITHUNGURI,"104,592"
022,KIAMBU,117,KIAMBU,"86,986"
022,KIAMBU,118,KIAMBAA,"104,268"
022,KIAMBU,119,KABETE,"91,775"
022,KIAMBU,120,KIKUYU,"98,758"
022,KIAMBU,121,LIMURU,"93,019"
022,KIAMBU,122,LARI,"81,196"
023,TURKANA,123,TURKANA NORTH,"42,937"
023,TURKANA,124,TURKANA WEST,"42,673"
023,TURKANA,125,TURKANA CENTRAL,"55,971"
023,TURKANA,126,LOIMA,"36,515"
023,TURKANA,127,TURKANA SOUTH,"40,432"
023,TURKANA,128,TURKANA EAST,"20,000"
024,WEST POKOT,129,KAPENGURIA,"66,540"
024,WEST POKOT,130,SIGOR,"43,934"
024,WEST POKOT,131,KACHELIBA,"51,146"
024,WEST POKOT,132,POKOT SOUTH,"58,406"
025,SAMBURU,133,SAMBURU WEST,"43,390"
025,SAMBURU,134,SAMBURU NORTH,"29,830"
025,SAMBURU,135,SAMBURU EAST,"26,794"
026,TRANS NZOIA,136,KWANZA,"75,839"
026,TRANS NZOIA,137,ENDEBESS,"50,688"
026,TRANS NZOIA,138,SABOTI,"87,384"
026,TRANS NZOIA,139,KIMININI,"93,240"
026,TRANS NZOIA,140,CHERANGANY,"91,830"
027,UASIN GISHU,141,SOY,"92,702"
027,UASIN GISHU,142,TURBO,"120,202"
027,UASIN GISHU,143,MOIBEN,"77,877"
027,UASIN GISHU,144,AINABKOI,"62,606"
027,UASIN GISHU,145,KAPSERET,"74,809"
027,UASIN GISHU,146,KESSES,"77,942"
028,ELGEYO/MARAKWET,147,MARAKWET EAST,"43,672"
028,ELGEYO/MARAKWET,148,MARAKWET WEST,"58,568"
028,ELGEYO/MARAKWET,149,KEIYO NORTH,"49,247"
028,ELGEYO/MARAKWET,150,KEIYO SOUTH,"62,397"
029,NANDI,151,TINDERET,"51,446"
029,NANDI,152,ALDAI,"78,005"
029,NANDI,153,NANDI HILLS,"57,910"
029,NANDI,154,CHESUMEI,"74,201"
029,NANDI,155,EMGWEN,"66,940"
029,NANDI,156,MOSOP,"77,786"
